RUN	RecordedSimulation	recordedsimulation	1587632571220	ma¤ana	3.3.1
REQUEST	1		request_16	1587632582667	1587632582712	OK	 
REQUEST	1		text-encoder-lite.min.js	1587632582526	1587632582714	OK	 
REQUEST	1		owasp-password-strength-test.js	1587632582526	1587632582716	OK	 
REQUEST	1		solid.js	1587632582526	1587632582748	OK	 
REQUEST	1		request_17	1587632582711	1587632582750	OK	 
REQUEST	1		request_19	1587632582715	1587632582758	OK	 
REQUEST	1		request_18	1587632582712	1587632582759	OK	 
REQUEST	1		request_15	1587632582527	1587632582834	OK	 
REQUEST	10		0.chunk.js	1587632582556	1587632583092	OK	 
REQUEST	10		request_2	1587632582558	1587632583098	OK	 
REQUEST	2		request_14	1587632583177	1587632583476	OK	 
REQUEST	2		owasp-password-strength-test.js	1587632583479	1587632583783	OK	 
REQUEST	2		bootstrap.min.css	1587632583478	1587632583784	OK	 
REQUEST	2		solid.css	1587632583478	1587632583794	OK	 
REQUEST	2		text-encoder-lite.min.js	1587632583479	1587632583797	OK	 
REQUEST	2		request_16	1587632583783	1587632583822	OK	 
REQUEST	2		request_17	1587632583785	1587632583823	OK	 
REQUEST	2		solid.js	1587632583479	1587632583834	OK	 
REQUEST	2		request_19	1587632583794	1587632583841	OK	 
REQUEST	1		request_20	1587632583849	1587632583920	OK	 
REQUEST	2		request_15	1587632583479	1587632583957	OK	 
REQUEST	1		solid.css	1587632583924	1587632583962	OK	 
REQUEST	1		bootstrap.min.css	1587632583923	1587632583963	OK	 
REQUEST	1		request_21	1587632583924	1587632583963	OK	 
REQUEST	1		request_22	1587632583924	1587632583966	OK	 
REQUEST	3		request_14	1587632584126	1587632584407	OK	 
USER	RecordedSimulation	11	START	1587632584546	1587632584546
REQUEST	11		request_0	1587632584547	1587632584551	OK	 
REQUEST	11		uniovi.jpg	1587632584552	1587632584555	OK	 
REQUEST	3		bootstrap.min.css	1587632584408	1587632584573	OK	 
REQUEST	3		owasp-password-strength-test.js	1587632584408	1587632584580	OK	 
REQUEST	3		text-encoder-lite.min.js	1587632584408	1587632584583	OK	 
REQUEST	11		bundle.js	1587632584552	1587632584590	OK	 
REQUEST	11		request_1	1587632584553	1587632584592	OK	 
REQUEST	11		request_5	1587632584593	1587632584596	OK	 
REQUEST	3		solid.css	1587632584408	1587632584596	OK	 
REQUEST	11		request_3	1587632584555	1587632584600	OK	 
REQUEST	11		request_4	1587632584590	1587632584601	OK	 
REQUEST	3		solid.js	1587632584409	1587632584602	OK	 
REQUEST	11		main.chunk.js	1587632584553	1587632584602	OK	 
REQUEST	11		request_6	1587632584596	1587632584603	OK	 
REQUEST	11		request_7	1587632584601	1587632584605	OK	 
REQUEST	11		request_8	1587632584602	1587632584607	OK	 
REQUEST	11		request_9	1587632584603	1587632584607	OK	 
REQUEST	11		request_10	1587632584603	1587632584608	OK	 
REQUEST	11		request_12	1587632584606	1587632584610	OK	 
REQUEST	11		request_13	1587632584607	1587632584611	OK	 
REQUEST	3		request_16	1587632584574	1587632584614	OK	 
REQUEST	3		request_17	1587632584580	1587632584623	OK	 
REQUEST	3		request_19	1587632584583	1587632584625	OK	 
REQUEST	3		request_15	1587632584409	1587632584756	OK	 
REQUEST	2		request_20	1587632584968	1587632585037	OK	 
REQUEST	2		solid.css	1587632585038	1587632585078	OK	 
REQUEST	11		0.chunk.js	1587632584553	1587632585087	OK	 
REQUEST	11		request_2	1587632584553	1587632585090	OK	 
